fecha,descripcion,referencia,valor,moneda_id,cuenta_id,terceroid,grupoid,conceptoid
2025-03-29,Compra F2X S.A.S. Fact DEFL27378174,DEFL27378174,-12900.0,1,,,,
2025-03-26,Compra PLANTAS DEL TAMBO S.A.S. Fact FE33510,FE33510,-1474250.0,1,,,,
2025-03-25,Compra F2X S.A.S. Fact DEFL26689108,DEFL26689108,-12900.0,1,,,,
2025-03-25,Compra PRICESMART COLOMBIA S.A.S. Fact FECO3612061,FECO3612061,-754451.0,1,,,,
2025-03-19,Compra VITELCO DE COLOMBIA S.A.S Fact 1E95194,1E95194,-77535.33,1,,,,
2025-03-18,Compra F2X S.A.S. Fact DEFL25544202,DEFL25544202,-12900.0,1,,,,
2025-03-17,Compra COMUNICACION CELULAR S A  COMCEL S A Fact PB13439109,PB13439109,-5000.0,1,,,,
2025-03-12,Compra AGROBOLIVAR FLOWERS S.A.S. Fact AF121633,AF121633,-30900.0,1,,,,
2025-03-12,Compra CAPIRO VIVERO S.A.S Fact FE21059,FE21059,-25000.0,1,,,,
2025-03-12,Compra FERRETERIA LOS FIERROS Fact A2002N,A2002N,-0.0,1,,,,
2025-03-11,Compra F2X S.A.S. Fact DEFL24452897,DEFL24452897,-12900.0,1,,,,
2025-03-11,Compra PRICESMART COLOMBIA S.A.S. Fact FECO3325702,FECO3325702,-287854.0,1,,,,
2025-03-09,Compra F2X S.A.S. Fact FFLY5053382,FFLY5053382,-4000.0,1,,,,
2025-03-08,Compra COOPERATIVA COLANTA Fact 145E61387,145E61387,-80400.0,1,,,,
2025-03-04,Compra F2X S.A.S. Fact DEFL23375351,DEFL23375351,-12900.0,1,,,,
2025-03-04,Compra PRICESMART COLOMBIA S.A.S. Fact FECO3179313,FECO3179313,-665259.0,1,,,,
2025-03-03,Compra F2X S.A.S. Fact FLYP7081558,FLYP7081558,-4500.0,1,,,,
2025-02-28,Compra D1 S A S Fact G6R351474,G6R351474,-26880.0,1,,,,
2025-02-25,Compra F2X S.A.S. Fact DEFL22266412,DEFL22266412,-12900.0,1,,,,
2025-02-25,Compra PRICESMART COLOMBIA S.A.S. Fact FECO3023751,FECO3023751,-143900.0,1,,,,
2025-02-24,Compra F2X S.A.S. Fact DEFL21909129,DEFL21909129,-12900.0,1,,,,
