104,2024-11-23,890902875,TRANSPORTES RAPIDO OCHOA SA,P9581117,121000.00,0.00,121000.00,2024-11-23 TRANSPORTES RAPIDO OCHOA SA.xml,2026-01-10 12:22:39.37758
105,2024-11-27,890904478,COOPERATIVA COLANTA,145E46746,106667.00,8533.00,115200.00,2024-11-27 COOPERATIVA COLANTA.xml,2026-01-10 12:22:39.392055
106,2024-11-28,900219834,F2X S.A.S.,DEFL8219986,12200.00,0.00,12200.00,2024-11-28 F2X SAS.xml,2026-01-10 12:22:39.405506
107,2024-11-30,890904478,COOPERATIVA COLANTA,145P641,65955.00,12532.00,78487.00,2024-11-30 COOPERATIVA COLANTA.xml,2026-01-10 12:22:39.419457
108,2024-12-03,900219834,F2X S.A.S.,DEFL8969314,12200.00,0.00,12200.00,2024-12-03 F2X SAS.xml,2026-01-10 12:22:39.433627
109,2024-12-03,900319753,PRICESMART COLOMBIA S.A.S.,FECO1190254,848513.00,122714.00,982401.00,2024-12-03 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:22:39.448922
110,2024-12-05,901439456,MATERIALES MAESTRO COLOMBIA SAS,FE10579,5882.30,1117.64,6999.94,2024-12-05 MATERIALES MAESTRO COLOMBIA SAS.xml,2026-01-10 12:22:39.462053
111,2024-12-07,900219834,F2X S.A.S.,FLYP6492289,1764.70,335.30,2100.00,2024-12-07 F2X SAS.xml,2026-01-10 12:22:39.475742
112,2024-12-09,890904478,COOPERATIVA COLANTA,145E48181,75192.00,1197.00,81900.00,2024-12-09 COOPERATIVA COLANTA.xml,2026-01-10 12:22:39.489292
113,2024-12-10,900219834,F2X S.A.S.,DEFL10103232,12200.00,0.00,12200.00,2024-12-10 F2X SAS.xml,2026-01-10 12:22:39.502767
114,2024-12-11,901439456,MATERIALES MAESTRO COLOMBIA SAS,FE10731,44369.76,8430.25,52800.01,2024-12-11 MATERIALES MAESTRO COLOMBIA SAS.xml,2026-01-10 12:22:39.51607
115,2024-12-18,900219834,F2X S.A.S.,DEFL11434483,12200.00,0.00,12200.00,2024-12-18 F2X SAS.xml,2026-01-10 12:22:39.529421
116,2024-12-18,900378955,FIJACIONES OROZCO S.A.S.,ECRE51479,21000.00,3990.00,24990.00,2024-12-18 FIJACIONES OROZCO SAS.xml,2026-01-10 12:22:39.543275
117,2024-12-18,900319753,PRICESMART COLOMBIA S.A.S.,FECO1563430,738961.00,87740.00,826701.00,2024-12-18 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:22:39.560181
118,2024-12-18,901321683,VELOCITY FULLCOMMERCE S.A.S,FEMC142642,244860.00,0.00,244860.00,2024-12-18 VELOCITY FULLCOMMERCE SAS.xml,2026-01-10 12:22:39.574389
119,2024-12-24,900219834,F2X S.A.S.,DEFL12492560,23800.00,0.00,23800.00,2024-12-24 F2X SAS.xml,2026-01-10 12:22:39.588884
120,2024-12-25,901331844,IKSO SAS,F591165661,342672.28,65107.72,407780.00,2024-12-25 IKSO SAS.xml,2026-01-10 12:22:39.603193
121,2024-12-26,901439456,MATERIALES MAESTRO COLOMBIA SAS,FE11044,8406.22,1597.18,10003.40,2024-12-26 MATERIALES MAESTRO COLOMBIA SAS.xml,2026-01-10 12:22:39.616532
122,2024-12-28,900276962,D1 S A S,G5R337720,271598.72,19955.29,329300.01,2024-12-28 D1 S A S.xml,2026-01-10 12:22:39.632569
123,2024-12-30,900219834,F2X S.A.S.,DEFL13441173,12200.00,0.00,12200.00,2024-12-30 F2X SAS.xml,2026-01-10 12:22:39.646246
124,2025-01-02,901321683,VELOCITY FULLCOMMERCE S.A.S,FEMC145532,244860.00,0.00,244860.00,2025-01-02 VELOCITY FULLCOMMERCE SAS.xml,2026-01-10 12:23:00.928453
125,2025-01-04,900276962,D1 S A S,G5R339256,115155.88,10964.12,126120.00,2025-01-04 D1 S A S.xml,2026-01-10 12:23:00.945649
126,2025-01-10,900219834,F2X S.A.S.,FLYP6686778,1764.70,335.30,2100.00,2025-01-10 F2X SAS.xml,2026-01-10 12:23:00.968968
127,2025-01-13,890901352,EL COLOMBIANO S.A.S.,5214144297,415900.00,0.00,415900.00,2025-01-13 EL COLOMBIANO SAS.xml,2026-01-10 12:23:00.986806
128,2025-01-14,890904478,COOPERATIVA COLANTA,145E53631,42731.00,8119.00,50850.00,2025-01-14 COOPERATIVA COLANTA.xml,2026-01-10 12:23:01.000959
129,2025-01-14,900219834,F2X S.A.S.,DEFL15651369,12900.00,0.00,12900.00,2025-01-14 F2X SAS.xml,2026-01-10 12:23:01.014964
130,2025-01-14,900319753,PRICESMART COLOMBIA S.A.S.,FECO2163073,1605555.00,138990.00,1744545.00,2025-01-14 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:23:01.035884
131,2025-01-21,900219834,F2X S.A.S.,DEFL16789286,12900.00,0.00,12900.00,2025-01-21 F2X SAS.xml,2026-01-10 12:23:01.049813
132,2025-01-21,900319753,PRICESMART COLOMBIA S.A.S.,FECO2307873,483554.00,38136.00,521691.00,2025-01-21 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:23:01.069036
133,2025-01-23,900599105,CAPIRO VIVERO S.A.S,FE19390,256764.69,40235.29,296999.98,2025-01-23 CAPIRO VIVERO SAS.xml,2026-01-10 12:23:01.0837
134,2025-01-29,900219834,F2X S.A.S.,DEFL18004531,25000.00,0.00,25000.00,2025-01-29 F2X SAS.xml,2026-01-10 12:23:01.097446
135,2025-01-29,901154216,GRUPO R5 LIMITADA,FCM79545,4117.65,782.35,4900.00,2025-01-29 GRUPO R5 LIMITADA.xml,2026-01-10 12:23:01.111771
136,2025-01-29,860002180,SEGUROS COMERCIALES BOLIVAR SA,POL12457753,326300.00,0.00,326300.00,2025-01-29 SEGUROS COMERCIALES BOLIVAR SA.xml,2026-01-10 12:23:01.125197
137,2025-02-01,900276962,D1 S A S,G5R345319,99937.98,15952.04,115890.02,2025-02-01 D1 S A S.xml,2026-01-10 12:23:01.13963
138,2025-02-01,900219834,F2X S.A.S.,DEFL18532243,25000.00,0.00,25000.00,2025-02-01 F2X SAS.xml,2026-01-10 12:23:01.153078
139,2025-02-04,900219834,F2X S.A.S.,DEFL18973855,12900.00,0.00,12900.00,2025-02-04 F2X SAS.xml,2026-01-10 12:23:01.166582
140,2025-02-05,900219834,F2X S.A.S.,FLYP6893315,1260.50,239.50,1500.00,2025-02-05 F2X SAS.xml,2026-01-10 12:23:01.180649
141,2025-02-08,900276962,D1 S A S,G5R346628,77225.88,4124.12,81350.00,2025-02-08 D1 S A S.xml,2026-01-10 12:23:01.194388
142,2025-02-11,900219834,F2X S.A.S.,DEFL20103042,12900.00,0.00,12900.00,2025-02-11 F2X SAS.xml,2026-01-10 12:23:01.207587
143,2025-02-11,900319753,PRICESMART COLOMBIA S.A.S.,FECO2750479,743903.00,61590.00,816667.00,2025-02-11 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:23:01.225764
144,2025-02-13,901739073,INVERSIONES RAMEJ S.A.S,EPOS94305,165700.00,0.00,165700.00,2025-02-13 INVERSIONES RAMEJ SAS.xml,2026-01-10 12:23:01.24046
145,2025-02-14,900219834,F2X S.A.S.,DEFL20626757,25000.00,0.00,25000.00,2025-02-14 F2X SAS.xml,2026-01-10 12:23:01.253767
146,2025-02-18,900276962,D1 S A S,G5R440150,265164.46,13421.54,342960.00,2025-02-18 D1 S A S.xml,2026-01-10 12:23:01.268388
147,2025-02-18,900219834,F2X S.A.S.,DEFL21191003,12900.00,0.00,12900.00,2025-02-18 F2X SAS.xml,2026-01-10 12:23:01.282278
148,2025-02-18,900378955,FIJACIONES OROZCO S.A.S.,ECRE53306,86000.00,16340.00,102340.00,2025-02-18 FIJACIONES OROZCO SAS.xml,2026-01-10 12:23:01.296452
149,2025-02-24,900219834,F2X S.A.S.,DEFL21909129,12900.00,0.00,12900.00,2025-02-24 F2X SAS.xml,2026-01-10 12:23:01.310441
150,2025-02-25,900219834,F2X S.A.S.,DEFL22266412,12900.00,0.00,12900.00,2025-02-25 F2X SAS.xml,2026-01-10 12:23:01.324134
151,2025-02-25,900319753,PRICESMART COLOMBIA S.A.S.,FECO3023751,137048.00,6852.00,143900.00,2025-02-25 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:23:01.338603
152,2025-02-28,900276962,D1 S A S,G6R351474,25139.66,1740.34,26880.00,2025-02-28 D1 S A S.xml,2026-01-10 12:23:01.35325
153,2025-03-03,900219834,F2X S.A.S.,FLYP7081558,3781.50,718.50,4500.00,2025-03-03 F2X SAS.xml,2026-01-10 12:23:01.369713
154,2025-03-04,900219834,F2X S.A.S.,DEFL23375351,12900.00,0.00,12900.00,2025-03-04 F2X SAS.xml,2026-01-10 12:23:01.383925
155,2025-03-04,900319753,PRICESMART COLOMBIA S.A.S.,FECO3179313,622936.00,42324.00,665259.00,2025-03-04 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:23:01.400741
156,2025-03-08,890904478,COOPERATIVA COLANTA,145E61387,74889.00,5511.00,80400.00,2025-03-08 COOPERATIVA COLANTA.xml,2026-01-10 12:23:01.41458
157,2025-03-09,900219834,F2X S.A.S.,FFLY5053382,3115.00,592.00,4000.00,2025-03-09 F2X SAS.xml,2026-01-10 12:23:01.427807
158,2025-03-11,900219834,F2X S.A.S.,DEFL24452897,12900.00,0.00,12900.00,2025-03-11 F2X SAS.xml,2026-01-10 12:23:01.441242
159,2025-03-11,900319753,PRICESMART COLOMBIA S.A.S.,FECO3325702,274394.00,13460.00,287854.00,2025-03-11 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:23:01.45553
160,2025-03-12,901242099,AGROBOLIVAR FLOWERS S.A.S.,AF121633,30900.00,0.00,30900.00,2025-03-12 AGROBOLIVAR FLOWERS SAS.xml,2026-01-10 12:23:01.468933
161,2025-03-12,900599105,CAPIRO VIVERO S.A.S,FE21059,28500.00,0.00,25000.00,2025-03-12 CAPIRO VIVERO SAS.xml,2026-01-10 12:23:01.482308
162,2025-03-12,811012427,FERRETERIA LOS FIERROS,A2002N,0.00,13242.00,0.00,2025-03-12 FERRETERIA LOS FIERROS.xml,2026-01-10 12:23:01.496647
163,2025-03-17,800153993,COMUNICACION CELULAR S A  COMCEL S A,PB13439109,5000.00,0.00,5000.00,2025-03-17 COMUNICACION CELULAR S A  COMCEL S A.xml,2026-01-10 12:23:01.510034
164,2025-03-18,900219834,F2X S.A.S.,DEFL25544202,12900.00,0.00,12900.00,2025-03-18 F2X SAS.xml,2026-01-10 12:23:01.522759
165,2025-03-19,900155761,VITELCO DE COLOMBIA S.A.S,1E95194,65155.74,12379.59,77535.33,2025-03-19 VITELCO DE COLOMBIA SAS.xml,2026-01-10 12:23:01.536141
166,2025-03-25,900219834,F2X S.A.S.,DEFL26689108,12900.00,0.00,12900.00,2025-03-25 F2X SAS.xml,2026-01-10 12:23:01.549365
167,2025-03-25,900319753,PRICESMART COLOMBIA S.A.S.,FECO3612061,663665.00,53800.00,754451.00,2025-03-25 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:23:01.565944
168,2025-03-26,900036188,PLANTAS DEL TAMBO S.A.S.,FE33510,1474250.00,0.00,1474250.00,2025-03-26 PLANTAS DEL TAMBO SAS.xml,2026-01-10 12:23:01.581377
169,2025-03-29,800153993,COMUNICACION CELULAR S A  COMCEL S A,PB13898580,10000.00,0.00,10000.00,2025-03-29 COMUNICACION CELULAR S A  COMCEL S A.xml,2026-01-10 12:23:01.594376
170,2025-03-29,900219834,F2X S.A.S.,DEFL27378174,12900.00,0.00,12900.00,2025-03-29 F2X SAS.xml,2026-01-10 12:23:01.608067
171,2025-04-02,900219834,F2X S.A.S.,DEFL27936264,12900.00,0.00,12900.00,2025-04-02 F2X SAS.xml,2026-01-10 12:23:01.620959
172,2025-04-02,900319753,PRICESMART COLOMBIA S.A.S.,FECO3776743,394954.00,38146.00,433101.00,2025-04-02 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:23:01.635765
173,2025-04-04,900219834,F2X S.A.S.,FLYP7269056,1764.70,335.30,2100.00,2025-04-04 F2X SAS.xml,2026-01-10 12:23:01.649577
174,2025-04-08,900219834,F2X S.A.S.,DEFL28904300,12900.00,0.00,12900.00,2025-04-08 F2X SAS.xml,2026-01-10 12:23:01.662715
175,2025-04-10,890904478,COOPERATIVA COLANTA,145E66215,81296.00,6504.00,87800.00,2025-04-10 COOPERATIVA COLANTA.xml,2026-01-10 12:23:01.676628
176,2025-04-23,900017447,FALABELLA DE COLOMBIA S A,V304252768,261849.00,49751.00,311600.00,2025-04-23 FALABELLA DE COLOMBIA S A.xml,2026-01-10 12:23:01.691065
177,2025-04-23,901331844,IKSO SAS,F591229508,343605.04,65284.96,408890.00,2025-04-23 IKSO SAS.xml,2026-01-10 12:23:01.704857
178,2025-04-28,860037013,COMPAÑÍA MUNDIAL DE SEGUROS S.A.,014F13100639,1269000.00,0.00,1269000.00,2025-04-28 COMPAÑÍA MUNDIAL DE SEGUROS SA.xml,2026-01-10 12:23:01.731691
179,2025-04-29,900219834,F2X S.A.S.,DEFL32450649,12900.00,0.00,12900.00,2025-04-29 F2X SAS.xml,2026-01-10 12:23:01.747823
180,2025-04-29,900319753,PRICESMART COLOMBIA S.A.S.,FECO4323838,150381.00,7519.00,157900.00,2025-04-29 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:23:01.761136
181,2025-04-30,900017447,FALABELLA DE COLOMBIA S A,BT0139108,0.00,0.00,0.00,2025-04-30 FALABELLA DE COLOMBIA S A.xml,2026-01-10 12:23:01.773117
182,2025-05-05,900219834,F2X S.A.S.,FLYP7474864,1260.50,239.50,1500.00,2025-05-05 F2X SAS.xml,2026-01-10 12:23:01.786201
183,2025-05-08,901331844,IKSO SAS,N1804285,0.00,0.00,0.00,2025-05-08 IKSO SAS.xml,2026-01-10 12:23:01.799395
184,2025-05-11,900219834,F2X S.A.S.,DEFL34394272,12900.00,0.00,12900.00,2025-05-11 F2X SAS.xml,2026-01-10 12:23:01.812643
185,2025-05-12,890980097,SOCIEDAD COLOMBIANA DE ORQUIDE,FE6438,139588.67,13411.84,153000.51,2025-05-12 SOCIEDAD COLOMBIANA DE ORQUIDE.xml,2026-01-10 12:23:01.825954
186,2025-05-13,900219834,F2X S.A.S.,DEFL34732840,25000.00,0.00,25000.00,2025-05-13 F2X SAS.xml,2026-01-10 12:23:01.839101
187,2025-05-13,900319753,PRICESMART COLOMBIA S.A.S.,FECO4628137,294982.00,36918.00,331900.00,2025-05-13 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:23:01.853481
188,2025-05-21,900219834,F2X S.A.S.,DEFL36005979,12900.00,0.00,12900.00,2025-05-21 F2X SAS.xml,2026-01-10 12:23:01.867662
189,2025-05-21,900319753,PRICESMART COLOMBIA S.A.S.,FECO4791916,150381.00,7519.00,157900.00,2025-05-21 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:23:01.881366
